prompt	ground_truth	candidate
look around left thrice after walk ->	WALK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK	 walk turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
look around right thrice after jump right thrice ->	RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK	 turn right jump turn right jump turn right jump turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look
run opposite left and look around left thrice ->	LEFT LEFT RUN LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK	 turn left turn left run turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
walk around right thrice and jump twice ->	RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK JUMP JUMP	 turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk jump jump
jump around left and walk around right thrice ->	LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK	 turn left jump turn left jump turn left jump turn left jump turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk
run left and look around right thrice ->	LEFT RUN RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK	 turn left run turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look
run right after jump around left thrice ->	LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP RIGHT RUN	 turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump
run around left and look around left thrice ->	LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK	 turn left run turn left run turn left run turn left run turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
run around right thrice after jump opposite left ->	LEFT LEFT JUMP RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN	 turn left turn left jump turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run
run around left twice and turn around left thrice ->	LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT LEFT LEFT LEFT LEFT LEFT LEFT LEFT LEFT LEFT LEFT LEFT	 turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left turn left
jump around left thrice and look right ->	LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP RIGHT LOOK	 turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn right look
walk left twice after run around left thrice ->	LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT WALK LEFT WALK	 turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left walk turn left walk
run right after walk around right thrice ->	RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT RUN	 turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right run
walk opposite right thrice after run around right thrice ->	RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RIGHT WALK RIGHT RIGHT WALK RIGHT RIGHT WALK	 turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right turn right walk turn right turn right walk turn right turn right walk
jump around left twice after walk around right ->	RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP	 turn right walk turn right walk turn right walk turn right walk turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump
walk around right thrice after walk opposite right ->	RIGHT RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK	 turn right turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk
turn around right twice after run around left twice ->	LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT	 turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn right turn right turn right turn right turn right turn right turn right turn right
run twice after run around left thrice ->	LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT RUN RUN RUN	 turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run turn left run run run
run around left after jump around left thrice ->	LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT RUN LEFT RUN LEFT RUN LEFT RUN	 turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left run turn left run turn left run turn left run
jump around left thrice after turn right thrice ->	RIGHT RIGHT RIGHT LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP	 turn right turn right turn right turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump
run around left and walk around left twice ->	LEFT RUN LEFT RUN LEFT RUN LEFT RUN LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK	 turn left run turn left run turn left run turn left run turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
walk around left thrice and jump right thrice ->	LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK RIGHT JUMP RIGHT JUMP RIGHT JUMP	 turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn right jump turn right jump turn right jump
turn left and walk around left thrice ->	LEFT LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK	 turn left turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk
turn opposite right thrice after walk around right thrice ->	RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT	 turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right turn right turn right turn right turn right turn right
run around right twice and look around left twice ->	RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK	 turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn left look turn left look turn left look turn left look turn left look turn left look turn left look
run opposite right and look around left thrice ->	RIGHT RIGHT RUN LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK	 turn right turn right run turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
run opposite left thrice and look around left twice ->	LEFT LEFT RUN LEFT LEFT RUN LEFT LEFT RUN LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK	 turn left turn left run turn left turn left run turn left turn left run turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
walk opposite left thrice after run around right twice ->	RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN RIGHT RUN LEFT LEFT WALK LEFT LEFT WALK LEFT LEFT WALK	 turn right run turn right run turn right run turn right run turn right run turn right run turn right run turn left turn left walk turn left turn left walk turn left turn left walk
turn opposite left and look around right thrice ->	LEFT LEFT RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK	 turn left turn left turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look
look around right twice after walk opposite left thrice ->	LEFT LEFT WALK LEFT LEFT WALK LEFT LEFT WALK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK	 turn left turn left walk turn left turn left walk turn left turn left walk turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look
jump around right thrice after walk around right ->	RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP RIGHT JUMP	 turn right walk turn right walk turn right walk turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump turn right jump
walk right thrice after walk around left thrice ->	LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK LEFT WALK RIGHT WALK RIGHT WALK RIGHT WALK	 turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn left walk turn right walk turn right walk turn right walk
look around right twice and jump opposite right thrice ->	RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT RIGHT JUMP RIGHT RIGHT JUMP RIGHT RIGHT JUMP	 turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right turn right jump turn right turn right jump turn right turn right jump
look around left thrice after turn right twice ->	RIGHT RIGHT LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK LEFT LOOK	 turn right turn right turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look turn left look
jump around left thrice and walk opposite left twice ->	LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT LEFT WALK LEFT LEFT WALK	 turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left turn left walk turn left turn left walk
jump around left thrice after walk opposite right twice ->	RIGHT RIGHT WALK RIGHT RIGHT WALK LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP	 turn right turn right walk turn right turn right walk turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump
jump around left twice after turn around right twice ->	RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT RIGHT LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP LEFT JUMP	 turn right turn right turn right turn right turn right turn right turn right turn right turn right turn right turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump turn left jump
run opposite left twice and walk around right thrice ->	LEFT LEFT RUN LEFT LEFT RUN RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK RIGHT WALK	 turn left turn left run turn left turn left run turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk turn right walk
look around right thrice after turn opposite right ->	RIGHT RIGHT RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK RIGHT LOOK	 turn right turn right turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look turn right look
